Código OTRI,Título del contrato,Tipo contrato,Tipo contrato,CIF,CNAE,Descripción CNAE,Nombre entidad,Caracter,Caracter,Ambito,Ambito,Id. Pers,Nombre completo,Id. Categoria,Categoria,Nombre Departamento,Titulares,,Importe sin IVA,Fecha de firma,Fecha de fin,Código contable,Fecha de cierre,Ubicación expediente,,,CNAE,Descripción CNAE
2016024012,Desarrollo de un sistema de monitorización integral de canales hidroeléctricos,I+D,Investigación y desarrollo,A31768138,3519,Producción de energía eléctrica de otros tipos,"ACCIONA ENERGÍA, S.A.",PRV,Privado,AUT, ,2130,"Loayssa Lara, Alayn",TU,Titular de Universidad,Ingeniería Eléctrica y Electrónica,"Loayssa Lara, Alayn(PRI - TU); Mariñelarena Ollacarizqueta, Jon(INV - UNI); Iribas Pardo, Haritz(INV - UNI); Urricelqui Polvorinos, Javier(COP - 196); Mompó Roselló, Juan José(INV - FPI)",,39335,24/02/2016,23/05/2017,3030007240,,\\tsclient\T\2016024012.pdf,,,,
2016024082,"Evolución en el tiempo del comportamiento energético de las huertas fotovoltaicas de Arguedas, Sesma, Rada, Castejón, Cintruenigo y Milagro",I+D,Investigación y desarrollo,A/31612070,3519,Producción de energía eléctrica de otros tipos,"ACCIONA SOLAR, S.A.",PRV,Privado,AUT, ,495,"Marroyo Palomo, Luis María",TU,Titular de Universidad,Ingeniería Eléctrica y Electrónica,"Marroyo Palomo, Luis María(PRI - TU); Marcos Alvarez, Javier(INV - PAD); Urtasun Erburu, Andoni(INV - PAD); De la Parra Laita, Iñigo(INV - AS3); Pascual Miqueleiz, Julio María(INV - AS2); Barrios Rípodas, Ernesto Luis(INV - PAD); García Solano, Miguel(INV - PD1); San Martín Biurrun, Idoia(INV - PAD)",,30758.62,01/08/2016,01/02/2017,3030007325,,\\tsclient\T\2016024082.pdf,,,,
2016012033,Evaluación Técnica Expte. 814.014.16,SER,Servicios,B82271313,6920,"Accounting, bookkeeping, auditing and tax consulting ",AGENCIA DE CERTIFICACIÓN EN INNOVACIÓN ESPAÑOLA (ACIE),PRV,Privado,EST, ,8571,"Salcedo Pérez, Daniel",PAD,Profesor Ayudante Doctor,"Ingeniería Mecánica, Energética y de Materiales","Salcedo Pérez, Daniel(PRI - PAD)",,1400,04/04/2016,11/04/2016,3030007278,27/10/2016,\\tsclient\T\2016012033.pdf,,,,
2016012041,Evaluación Técnica Expte. 814.013.16,SER,Servicios,B82271313,6920,"Accounting, bookkeeping, auditing and tax consulting ",AGENCIA DE CERTIFICACIÓN EN INNOVACIÓN ESPAÑOLA (ACIE),PRV,Privado,EST, ,8571,"Salcedo Pérez, Daniel",PAD,Profesor Ayudante Doctor,"Ingeniería Mecánica, Energética y de Materiales","Salcedo Pérez, Daniel(PRI - PAD)",,1250,19/04/2016,26/04/2016,3030007279,27/10/2016,\\tsclient\T\2016012041.pdf,,,,
2016021036,"Informe de evaluación sobre carácter innovador del proyecto AGIL PACKAGING SYSTEM, S.L. NUEVO SISTEMA DE EMBALAJES PARA ELECTRODOMÉSTICO VOLUMINOSO",ASE,Asesoría y consultoría,B71244842,2896,Fabricación de maquinaria para las industrias del plástico y del caucho,"Agil Packaging System, S.L.",PRV,Privado,AUT, ,432,"Alfaro López, José Ramón",TU,Titular de Universidad,Proyectos e Ingeniería Rural,"Alfaro López, José Ramón(PRI - TU)",,470,06/04/2016,12/04/2016,3030007251,13/02/2017,\\tsclient\T\2016021036.pdf,,2009_4669,4669,Comercio al por mayor de otra maquinaria y equipo
2016016010,Suministro de material biológivo,SER,Servicios,B41883315,7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,"Agricultura y Ensayo, S.L.",PRV,Privado,EST, ,438,"Murillo Martínez, Jesús",CU,Catedrático de Universidad,Producción Agraria,"Murillo Martínez, Jesús(PRI - CU)",,124.2,30/01/2016,06/02/2016,3030007219,07/03/2016,\\tsclient\T\2016016010.pdf,,2009_7112,7112,Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico
2016800008,Supply of biological materials,I+D,Investigación y desarrollo,FR79430221374,7112,Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,AGROLIS CONSULTING,PRV,Privado,UE, ,99998,"Vicerrector  , para IdAB",SC,Sin categoria,Instituto de Agrobiotecnología IdAB,"Caballero Murillo, Primitivo(PRI - CU); Vicerrector , para IdAB(PRI - SC)",,2321.84,21/01/2016,31/01/2016,3030007213,27/04/2016,\\tsclient\T\2016800008.pdf,,,,
2016016030,Seguimiento estadarizado de la evolución del cuajado y carga productiva en los frutales de hueso y pepita cultivados en el Valle Alto del Ebro,I+D,Investigación y desarrollo,A28637304,6622,Actividades de agentes y corredores de seguros,"AGROSEGURO, S.A.",PRV,Privado,EST, ,2255,"Miranda Jiménez, Carlos",TU,Titular de Universidad,Producción Agraria,"Miranda Jiménez, Carlos(PRI - TU); Santesteban García, Luis Gonzaga(INV - TU); Royo Díaz, José Bernardo(INV - TU)",,5000,16/03/2016,31/12/2016,3030007285,10/02/2017,\\tsclient\T\2016016030.pdf,,,,
2016016096,Análisis e informe sobre ausencia de frutos en albaricoqueros de Berdejo y caída de nectarinas en Belver,SER,Servicios,A28637304,6622,Actividades de agentes y corredores de seguros,"AGROSEGURO, S.A.",PRV,Privado,EST, ,32,"Royo Díaz, José Bernardo",TU,Titular de Universidad,Producción Agraria,"Royo Díaz, José Bernardo(PRI - TU)",,5354.37,16/08/2016,30/08/2016,3030007342,,\\tsclient\T\2016016096.pdf,,,,
2016016131,Condiciones climáticas del invierno 2015-2016 en Huelva y Sevilla,SER,Servicios,A28637304,6622,Actividades de agentes y corredores de seguros,"AGROSEGURO, S.A.",PRV,Privado,EST, ,32,"Royo Díaz, José Bernardo",TU,Titular de Universidad,Producción Agraria,"Royo Díaz, José Bernardo(PRI - TU)",,1750,08/11/2016,22/11/2016,3030007425,,\\tsclient\T\2016016131.pdf,,2009_8543,8543,Educación universitaria
2016016046,Evaluación del efecto de la aplicación de Calicitor 5@ sobre la producción y la calidad enológica de la uva en las variedades Tempranillo y Garnacha,I+D,Investigación y desarrollo,A22043301,2015,Fabricación de fertilizantes y compuestos nitrogenados,"AGROSTOCK, S.A.",PRV,Privado,EST, ,2332,"Santesteban García, Luis Gonzaga",TU,Titular de Universidad,Producción Agraria,"Miranda Jiménez, Carlos(INV - TU); Santesteban García, Luis Gonzaga(PRI - TU); Royo Díaz, José Bernardo(INV - TU)","Sagarna Uria, Ibai(AYP); Marín Ederra, Diana(AYP)",11300,29/04/2016,28/04/2017,3030007258,,\\tsclient\T\2016016046.pdf,,2009_7219,7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas
2016902143,Caracterización magnética Magnómetro Squid de 3 muestras,SER,Servicios,G31024706,7022,Otras actividades de consultoría de gestión empresarial,AIN - ASOCIACIÓN DE LA INDUSTRIA NAVARRA,PRV,Privado,AUT, ,99997,"Vicerrector , para InaMat",SC,Sin categoria,Instituto de investigación en materiales avanzados - Institute for advanced materiales InaMat,"Gómez Polo, Cristina(PRI - CU); Vicerrector , para InaMat(PRI - SC)",,517.25,23/11/2016,21/12/2016,3030007433,,\\tsclient\T\2016902143.pdf,,,,
2016800018,Producción de microtubérculos de dos variedades comerciales de patata,SER,Servicios,A01189364,4631,Comercio al por mayor de frutas y hortalizas,"Alavesa de Patatas, S.A.",PRV,Privado,EST, ,99998,"Vicerrector  , para IdAB",SC,Sin categoria,Instituto de Agrobiotecnología IdAB,"Larraya Reta, Luis María(INV - TU); Farrán Blanch, Inmaculada(INV - PD1); Veramendi Charola, Jon Mirena(PRI - TU); Vicerrector , para IdAB(PRI - SC)",,1400,25/02/2016,24/05/2016,3030007233,21/03/2017,\\tsclient\T\2016800018.pdf,,,,
2016012114,Ensayos térmicos de un dispositivo de refrigeración,SER,Servicios,B71292973,3516,Producción de energía eléctrica de origen térmico convencional,ALAZ-ARIMA,PRV,Privado,AUT, ,132,"Aguas Alcalde, Juan José",TEU,Titular de Escuela Universitaria,"Ingeniería Mecánica, Energética y de Materiales","Aguas Alcalde, Juan José(PRI - TEU); Urroz Unzueta, José Carlos(EQT - AS1); Diéguez Elizondo, Pedro María(EQT - TU); Gil Del Val, Alain(EQT - PD1)",,14828,19/10/2016,18/04/2017,3030007388,,\\tsclient\T\2016012114.pdf,,,,
2016016011,Análisis de diferencias en la dureza instrumental de pechugas de pollo,SER,Servicios,B31070584,1012,Procesado y conservación de volatería,"AN AVICOLA MELIDA, S.L.",PRV,Privado,AUT, ,5740,"Sarriés  Martínez, María Victoria",PD1,Profesor Contratado Doctor Tipo 1,Producción Agraria,"Beriáin Apesteguía, María José(INV - CU); Sarriés Martínez, María Victoria(PRI - PD1)",,517.2,01/02/2016,01/04/2016,3030007254,20/01/2017,\\tsclient\T\2016016011.pdf,,,,
