No_,Name,ALIAS,CNAE,CNAE,Convenios iniciados 2016,Practicascurriculares2016,Practicasextracurriculares,Selecciones2016Empleootrabajo,Ingresos2016
EMP004829,"1NE Ibérica Facility Services Group, S.A.","1NE IBÉRICA FACILITY SERVICES GROUP, S.A.",Otras actividades de consultoría de gestión empresarial,7022,1,1,0,,
EMP004828,2-B Energy Holding,2-B ENERGY HOLDING,"Fabricación de motores, generadores y transformadores eléctricos",2711,1,0,1,,
EMP000604,"Abelan San Andrés, S.L.","ABELAN SAN ANDRÉS, S.L.",Fabricación de papel y cartón,1712,1,0,1,,11647.26
EMP000454,"Acciona Energía, S.A.",CEHN,Producción de energía eléctrica de otros tipos,3519,3,0,3,,4249.75
EMP001996,"Acciona Windpower, S.A.","ACCIONA WINDPOWER, S.A.","Fabricación de motores, generadores y transformadores eléctricos",2711,3,0,3,,14304.91
EMP001593,"Aceros Moldeados de Lacunza, S.A.","AML, S.A.",Fundición de acero,2452,1,1,0,1,393.25
EMP003199,"Adiaundis, S.L.","ADIAUNDIS, S.L.",Transporte de mercancías por carretera,4941,3,1,2,1,4613.43
EMP004183,"Adidas España, S.A.U.","ADIDAS ESPAÑA, S.A.U.",Comercio al por mayor de prendas de vestir y calzado,4642,1,0,1,,785.29
EMP000066,"Aditrans, S.L.",ADITRANS,Transporte de mercancías por carretera,4941,1,0,1,,8443.41
EMP004738,"ADMILAC Servicios Profesionales, S.L.","ADMILAC SERVICIOS PROFESIONALES, S.L.",Otras actividades de consultoría de gestión empresarial,7022,,0,0,1,598.95
EMP004810,"AE Asesores de Empresas, S.L.","AE ASESORES DE EMPRESAS, S.L.","Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal",6920,1,0,1,,393.25
EMP001927,"Agrícola Sakana, S.L.","AGRÍCOLA SAKANA, S.L.",Fabricación de maquinaria agraria y forestal,2830,1,0,1,,1331.97
EMP003784,"AKT Plásticos, S.L.","AKT PLÁSTICOS, S.L.","Fabricación de otros componentes, piezas y accesorios para vehículos de motor",2932,29,0,29,,186536.38
EMP004925,"Álamo Consulting, S.L.","ÁLAMO CONSULTING, S.L.",Otros servicios relacionados con las tecnologías de la información y la informática,6209,,0,0,1,
EMP002800,"Alba Renova, S.L.","ALBA RENOVA, S.L.",Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112,4,0,4,,15077.26
PRO000540,Alberto Aguado Ortega,DOBLE A,Otras actividades de consultoría de gestión empresarial,7022,1,1,0,,393.25
ORG000559,Alcer Navarra,ALCER NAVARRA,"Regulación de las actividades sanitarias, educativas y culturales y otros servicios sociales, excepto Seguridad Social",8412,2,2,0,,
